2019-11-13 20:53:52 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:53:53 INFO  LogLog4j:41 - ------ To wait that filter by holiday Purimis chosen -----
2019-11-13 20:53:53 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:53:53 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Purim
2019-11-13 20:53:54 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
2019-11-13 20:53:55 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:53:55 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:53:57 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:54:07 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:54:09 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:54:09 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:54:09 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:54:09 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:54:09 INFO  LogLog4j:41 - --- HomePage was loaded--
2019-11-13 20:54:09 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:54:09 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:54:10 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:54:11 INFO  LogLog4j:15 - 
2019-11-13 20:54:11 INFO  LogLog4j:16 - 
2019-11-13 20:54:11 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:54:11 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Pesach
2019-11-13 20:54:11 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:54:11 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Pesach) was started
2019-11-13 20:54:11 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:54:11 INFO  LogLog4j:41 - -- Choose filter by holiday Pesach
2019-11-13 20:54:11 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:54:11 INFO  LogLog4j:41 - ------ To wait that filter by holiday Pesachis chosen -----
2019-11-13 20:54:12 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:54:12 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Pesach
2019-11-13 20:54:12 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
2019-11-13 20:54:13 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:54:13 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:54:16 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:54:22 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:54:23 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:54:23 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:54:24 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:54:24 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:54:24 INFO  LogLog4j:41 - --- HomePage was loaded--
